中海国际环宇城 A2区 首此出租 精装电梯房 家具家电齐全,3室2厅2卫,合租 - 次卧,21,南,中层 / 14层,市中,绿地海珀天沅,"市中郎茂山 - 郎茂山路,近二环南路",600,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",为年轻人打造理想租房生活也许你刚毕业，离开宿舍告别室友，徘徊在人生的十字路口。也许你一个人在外打拼，离乡背井，不远万里落脚这座城市，或是土生土长的你，决定从现在开始，搬离旧时光，独立生活从此，愿租房这件小事，为你留下美好回忆….....房源优势：1.不说装修多好，至少干净卫生，清净明亮。2.不像房居住人多且杂，合租四间多，品牌只为专属的你。3.小区，出门公交，闹中取静，成熟商圈，周边菜市场，超市，小吃街，无论你是购物狂，吃货，夜猫子，技术宅都能满足。4.租客，三有不租，养宠物者不租，带老人者不租，无正当职业者不租
森林公园前屯小区精装修家具家电齐全双气楼层好价格便宜有地下室,2室2厅1卫,整租,105,南北,中层 / 6层,槐荫,前屯小区,槐荫张庄路 - 张庄路190号,1400,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",装修精致，布局合理，配套齐全，温馨舒适，生活便利，放心居住。绿化面积大，环境优美，南北通透。看房方便，随时入住，价格合理。
精装复式 民水 民电现在已经开暖气 SOHO！精致温馨房间！,1室1厅1卫,整租,34,北,中层 / 30层,高新,凤凰SOHO,高新国际会展中心 - 凤凰路,1750,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭']",位置：高新万达广场东凤凰SOHO适合万达附近上班人群、软件园。舜泰广场汉峪金谷、财富中心附近人群户型：复式1室1厅1卫配套：双人床、床头柜、衣橱、沙发、茶几、电视机电视机柜、冰箱、洗衣机、空调、整体厨房油烟机、整体卫生间热水器等全套家居家电.有钥匙随时看房随时入住好房
祝甸东方花园 2室2厅1卫,2室2厅1卫,整租,90,南,高层 / 6层,历城,祝甸东方花园,历城祝甸 - 祝舜路,2399,无,"['电视', '空调', '热水器', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",交通便利，近邻地铁口，环联夜市，交通方便，公交车有30，118，80。周边菜市场超市幼儿园都齐全，居住方便，楼下有停车位，小区环境优美。家具家电齐全，拎包入住，本房出租
高新万达软件园汉峪金谷万象城丁豪广场免暖气费工业南路奥体西路,2室1厅1卫,整租,120,南北,低层 / 28层,历下,丁家嵘汇花园,历下解放东路 - 奥体西路,2800,距离地铁R3号线丁家庄站487米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",设施齐全：全新家具，品牌家电，冰箱，空调，洗衣机等应有尽有，洗澡做饭都很方便入住保洁：入住前深度保洁，做到拎包就能入住维修：家具家电及时上门维修，随时可预约交通便利：地铁、公交公共交通便捷无忧…随便去哪儿周边设施：周边各大商超、美食环绕其中，生活设施便利，吃喝玩乐，应有尽有品质租房，随时看房，从一个电话开始！
汉峪新苑 精装次卧 带空调带暖气 临近汉峪金谷 重汽拎包入住,3室1厅2卫,合租 - 次卧,25,北,中层 / 18层,高新,汉峪新苑南区,高新汉峪 - 旅游路,650,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",公寓直租！宜家风格！统一精装！配置齐全！智能门锁！安全便利！品质保障！全天客服！押一付一！《房间配置》：1.房间标配：1.5M双人床、床头柜、带整体衣柜、写字台、椅子、挂式空调、小区绿化高，配置宽带、线WIFI全覆盖。2.洗手间标配：马桶、全自动洗衣机、热水器、淋浴、浴霸、带镜子的洗手台。3.厨房标配：灶台、抽油烟机、冰箱。《房源分布》：现高新区均有房源，高新*较大热门地方都有房子在租。全天24*随时看房，偏远地方提前四*预约！《高新区价位分布》：工业南路高新段万达广场齐鲁软件园汉峪金谷经十路周边建筑大学附近
汉峪金谷舜泰广场 北湖小区精装单间 价格便宜家具齐全押一付一,2室2厅1卫,合租 - 主卧,32,南,中层 / 28层,高新,北胡灏苑(二区),高新汉峪 - 龙奥北路,750,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.靠近汉峪金谷、舜泰广场、玉兰广场、齐鲁软件园、青年人员创业基地、龙奥大厦、银荷大厦、重汽科技大厦，海信龙奥大厦，奥盛大厦，适合上班人员。2.房间阳光充沛，南北次卧、有厨房.价格：450-1500不等，附近房源都有，随时入住3.家具家电齐全，*楼层，光照、湿度和便利的平衡！3.交通线路519、116、k73、119、k145、k169、901等各路公交线路经过。4.周边配套周边设有丰富的配套设施，汉峪金谷集市，奥体中心，玉兰广场，龙奥大厦，龙奥天街，龙奥九号，喜来登大酒店，浪潮，舜泰广场，山东大学（软件学院），舜华大厦，联通营业厅，齐鲁软件园，雨滴广场，奥盛大厦，美莲广场，奥鑫大厦，银荷大厦，丁豪广场，万达广场，三庆财富中心，高新管委会，高新会展中心，银座，银行，医院，学校，娱乐场所一应俱全，充分满足你的生活所需！
免租一个月 可短租 南大北街小区 西市场 近地铁交通便利精装,2室1厅1卫,合租 - 主卧,19,东南,共3层,槐荫,南大北街小区,槐荫西市场 - 南大北街,656,无,"['电视', '空调', '热水器', '冰箱', '床', '暖气', '宽带', '阳台']","拒绝中jie,没有中jiefei，拒绝中jie,没有中jiefei，拒绝中jie,没有中jiefei，重要的事情说三遍！！！支付方式：押一付一，押一付三，半年付，年付，多种付款方式，房租压力无影踪!设施齐全：全新家具，品牌家电，冰箱，空调，洗衣机等应有尽有，洗澡做饭都很方便入住保洁：入住前深度保洁，做到拎包就能入住维修：家具家电及时上门维修，随时可预约交通便利：地铁、公交公共交通便捷无忧…随便去哪儿周边设施：周边各大商超、美食环绕其中，生活设施便利，吃喝玩乐，应有尽有品质租房，随时看房，从一个电话开始！"
豪鲁商厦 山大二院 梁府小区 带暖气 朝南单间 面积大可短租,4室1厅1卫,合租 - 次卧,25,南,共5层,天桥,梁府小区(二区),天桥水屯路 - 东泺河路,650,无,"['电视', '热水器', '洗衣机', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭']",一.无中介费！！！！！！拎包入住！！！！二、【物业安全】物业公司进行物业管理，安全规范！三、【更无任何/中/介/费/用】随时看房拎包入住！年龄超过40岁，孕妇、带小孩的、养宠物的，有不良嗜好的我一律不租，因为我这里的租客都是高素质的年轻人，毕竟谁也不想自己的家乱七不糟，自己居住的地方吵吵闹闹，我力所能及的就是让我的房客住的安全舒适，谢谢合作！1、也许你刚毕业，离开宿舍告别室友，徘徊在人生的十字路口。无任何/中/介/费/用】随时看房拎包入住！年龄超过40岁，孕妇、带小孩的、养宠物的，有不良嗜好的我一律不租，因为我这里的租客都是高素质的年轻人，毕竟谁也不想自己的家乱七八糟，自己居住的地方吵吵闹闹，我力所能及的就是让我的房客住的安全舒适，谢谢合作！
新出~七里河小区~精装两室~南北通透~家具家电齐全~领包住,2室2厅1卫,整租,108,南北,中层 / 6层,历城,七里河小区,历城七里河 - 七里河路,1750,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
周末特价，华龙路，华信路，工业南路，拎包入住，精装修，无中介,3室2厅2卫,合租 - 主卧,30,南,低层 / 7层,历城,新龙家园,历城七里河 - 华龙路399号,650,无,"['热水器', '洗衣机', '冰箱', '沙发', '宽带', '可做饭']",精装单间公寓~价位500-1500我们的宗旨：打造济南市*的高品质租住！我们的服务1、付款方式多样化：押一付一压一付二压一付三半年付年付2、公区厨房、卫生间、走廊，不定期免费保洁。3、管家服务:看房选房、签订合同、入住搬家、房间物品非人为损坏无偿维修。4丶随时看房。5丶水费电费都是正规居民用电用水费用标准，绝无乱收费现象。6丶家具齐全，随时拎包入住、周边环境好。7丶闹中取静（非常静谧的地方），居家环境温馨，生活配套设施完善！8丶交通便利，出小区门口就是公交站牌；9丶周边生活设施齐全，商场、超市、菜市场、银行、学校等应有尽有！
王舍人新东站万虹广场旁精装两室家具家电齐全,2室1厅1卫,整租,65,南北,高层 / 33层,历城,田园新苑,历城工业北路 - 工业北路,1300,距离地铁R3号线王舍人站1463米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.居民素质高，生活舒适度高，2.人文环境很重要！小区配套：3.小区配套设施齐全，生活方便，健身房，影城，大型超市购物中交通便利，有车位，好停车，出门就公交站牌，多路公交车直达！交通方便：附近有8路、40路、K57路、97路、106路、313路、315路多路公交车，出行方便4.服务介绍：我是中住地产的一名资深置业顾问，对主打楼盘商圈户型、结构、配套非常熟悉。选择我，选择中住地产！我是徐焕焕，很高兴为您服务！======山东中住地产只卖房源====
可短租！解放东路 政法学院 历下大厦 浆水泉路 姚家 家具全,3室1厅1卫,整租,92,南,高层 / 6层,历下,政府宿舍(姚家),历下姚家 - 解放东路83号,1999,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']","1、高性价比付款方式灵活、季付、半年付、大程度方便住户，减轻租客压力2、白金地段，地铁口快捷交通。饭店、药店、水果店、各色小吃、便利店、足疗、美容美发、网吧、茶社、菜场等小型生活配套楼下醇熟配套，十分便利3、拎包入住房间均配置了大床、写字桌椅、温馨衣柜、洗衣机、24天然气热水，一应俱全，做到了真正的全装修拎包入住标准。4、配备齐全主卧：带独立卫生间，全新家具，床衣柜电脑桌家电：电视、洗衣机、厨房5、看房自由本房源真实存在，您只需要一个电话,即可带您看房,精装修,6.可入住时间：随时入"
