标题,户型,租房方式,房屋大小,房屋朝向,楼层,小区名称,地址,房租,地铁,房屋配置,房屋描述
新出~锦绣泉城~精装两室~两室朝阳~家具家电齐全~领包住,2室2厅1卫,整租,87㎡,南北,中层 / 18层,锦绣泉城,历城华龙路 - 华龙路999号,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.这个小区物业正规，24*物业，安全的很2、咱们小区周边有很多济南小吃，满足吃货的要求，之前我经常在这吃3、自家房子，价格低廉、房子照片都是我自己亲自拍摄的，随时看房，正规卧室，4、物品损坏24*内免费上门维修、我们有自己的维修师傅5、服每星期定期检查卫生，排除电路水路等安全隐患6、房间干净整洁、每天都会打扫卫生、希望租客能吧那当成自己的家、维护机自觉打扫卫生、7、租赁期间如有各项问题，我们客服为您排解困难协调调解温馨提示养宠物的、没有正当职业的、不爱干净的、大吵大闹的，为了营造干净、和谐、安全的居住环境，以上租客不租谢谢合作、
七里堡小区出租 精装修 附近银座购物广场 山东大学洪家楼校区,2室1厅1卫,整租,77.31㎡,南北,高层 / 6层,七里堡小区,历城七里堡 - 二环东路1728号,1799,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']","【格局】2室1厅1卫，采光好，视野无遮挡。【价格】租金1799元/月【装修】房子居家精装，保养全新【图片为本房图片】【看房】24随时。公交：113路（七里堡小区站)公交：brt4路,k93路,k55路,75路,106路,165路,70路,46路（鑫达小区站)大学：山东大学、工会干部学院、银行学校商场：洪楼大润发超市、银座洪楼店、乐购、七里堡茶城、易购商场、环联小商品、七里堡蔬菜批发市场、环联小商品市场、百代商城医院：济南市历城中医院社区服务中心、齐鲁中西医门诊部、爱尔眼科医院邮局：洪楼邮电支局邮政储蓄银行：交通银行二环东路支行、农业银行、工商银行、建设银行、农村信用社其他：金宝座大酒店、鲁菜皇大酒店、陶然居、幸福时光KTV、挑战麦克风、七里堡菜市场小区内部配套：国医堂诊所"
千佛山国华金鸡岭独栋别墅 独门独院好停车 办公会所接待随时看,7室2厅2卫,整租,350㎡,南北,共2层,金鸡岭别墅,市中八里洼 - 旅游路,16000,无,"['空调', '热水器', '宽带', '可做饭']",千佛山下舜耕山庄东国华东方美郡金鸡岭独栋别墅好位置，靠近旅游路，独门独院好停车户型格局好，房间大，做办公室办公，餐厅接待都很好用随时联系我看房，装修好，可直接使用
财富壹号融悦段店世购旁 精装修双气电梯房 拎包入住 干净整洁,3室2厅2卫,整租,116㎡,南北,中层 / 30层,剑桥府邸,槐荫腊山立交桥 - 经十西路27616,1800,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",欢迎光临我的个人网上店铺我将竭诚为您服务1、位置：经十路世购段店财富壹号附近，附近有五院，儿童医院，森林公园，舜和国际酒店，省立医院西院，华联超市，和谐广场，财富壹号段店市场，生活设施齐全等2、户型：经典三室两厅，南北通透，户型方正，采光好、全明格局，客厅宽敞大气。3、社区：剑桥府邸，花园式封闭社区，绿化环境好，环境优美且安静，人文素质高，物业管理完善，小区治安好，停车非常方便4、配套：家电家具齐全，双气，电梯房，精装修，干净整洁，伶包入住！5.业主诚心出租，好房不等人本人承诺：在带看过程中不收取任何费用，房子满意后，双方签约合同！详情扫码咨询。。。希望您是讲卫生的好租客，安静不闹的好邻居!
年底促销实图实价，采光好性价比高，临山师华强省医泉城广场诚基,1室0厅1卫,整租,42㎡,南,高层 / 12层,诚基中心,历下和平路 - 和平路47号,1200,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",附近标识：山师、山艺、千医、省中医、八院二、小区介绍：以精装小户型为主，电梯房，配套设施齐全，成熟商圈，文化底蕴深厚，入住多为年轻人，有朝气.三、公交直达：省杂技团18路48路75路110路123路K59路K94路；山师东路文化东路31路K93路；附近其他公交站点有山大路文化东路.和平路历山东路.文化东路西口.经十路山师东路。
景苑小区 三室两卫 家具家电齐全  实图 随时入住,3室2厅2卫,整租,124㎡,南北,中层 / 11层,景苑小区,高新经十路高新段 - 经十路,2100,无,"['空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",高新区武警总队单位宿舍设施齐全电梯房双气三线齐全精装床衣橱电脑桌沙发茶几空调冰箱洗衣机热水器油烟机炉灶等小区位于经十东路与水华路，汉峪金谷舜泰广场东，近齐全软件园、美莲广场、奥盛大厦、银河大厦、万达文旅城、银座汽车等高新区乘坐115116136直达水华路站下车即是实拍图片有钥匙随时看房随时入住
西客站~大尧风华盛景  拎包入住 干净舒适  3室2厅1卫,3室2厅1卫,整租,98㎡,南北,中层 / 23层,大尧风华盛景,"槐荫西客站 - 腊山河西路,近兴福寺路",2500,距离地铁R1号线方特站1488米,"['空调', '热水器', '洗衣机', '床', '沙发', '衣柜', '暖气', '可做饭', '阳台']",1.装修清爽，此房精装修，干净清爽2.户型好，室内采光好，3.交通便利：周边公交站点多，周边公交4.生活便利：小区地处，周边大银行，商店生活十分便利！家具家电齐全业主诚心出租价格可谈有需要的随时可以联系我
豪华一室，采光好视野好可短租可月付，家电齐全拎包入住，诚基。,1室1厅1卫,整租,42㎡,南,高层 / 12层,诚基中心,历下和平路 - 和平路47号,1200,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",附近标识：山师、山艺、千医、省中医、八院二、小区介绍：以精装小户型为主，电梯房，配套设施齐全，成熟商圈，文化底蕴深厚，入住多为年轻人，有朝气.三、公交直达：省杂技团18路48路75路110路123路K59路K94路；山师东路文化东路31路K93路；附近其他公交站点有山大路文化东路.和平路历山东路.文化东路西口.经十路山师东路。
钥匙房源 欧亚大观公寓 可办公 美容 会所 近和谐广场,2室2厅2卫,整租,130㎡,南,中层 / 20层,欧亚大观商都,市中建设路 - 卧龙路,3000,无,"['空调', '热水器', '暖气', '可做饭', '阳台']",【位置】：快客房产;欧亚大观店--本公司全面代理欧亚大观“写字间”及“公寓”，有钥匙，随时看房。50--500平写字间欧亚大观商都位于济南市市中区阳光新路与卧龙路交叉口【户型结构】：复式经典房，入户朝阳大客厅，方正好用，主卧客厅朝阳，餐厅通联，宽敞明亮，采光超棒，配备独立卫生间，户型设计合理，空间利用率极高，尽享品质生活！【周边配套】:欧亚大观商都，泉景鸿园商务大厦，山水大润发，中海环宇城，沃尔玛、省立医院南院、各大银行都有【交通状况】：公交线路线：41、K55、62、74、K92、K94、120、128、K139路公交车车。向南有二环南高架桥。您的需求是我们努力的方向！欢迎您致电，小罗带您看房！【业主状态】：业主诚心急租，看房提前预约！您的需求是我们努力的方向！欢迎您致电，明艳带您看房！房源很多，不能一一推送，需要租房，欢迎实地看房！
恒大奥东新都近邻汉峪金谷舜泰广场精装三室家具家电齐全拎包入住,3室2厅2卫,整租,127㎡,南北,高层 / 31层,恒大奥东新都,高新经十路高新段 - 凤山路,2700,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1.小区位于经十路北凤山路西世纪大道南凤凰路东近邻汉峪金谷，舜泰广场，金域蓝山，万科金域华府，三庆城市主人，体育学院，齐鲁软件园，文化创意基地，高新万达广场，智远小学等地理位置较好。2.小区门口多路公交出门即站牌出行快速便捷。3.小区环境优美，绿化面积大，安全静谧。4.小区周边配套设施齐全，超市，药店，银行，幼儿园，小学等生活较便利。5.房间统一精装豪装，全自动洗衣机，冰箱，热水器等家电齐全，拎包即入住，家具家电可按照您的需求配置。6.万科物业居住舒适性高，安全性高。给您一个舒适的家。7.价格实惠，物有所值，业主诚意出租，看房随时
解放东路  文博家园  精装修  大三室  急租,3室2厅2卫,整租,140㎡,南北,低层 / 17层,文博家园,历下解放东路 - 解放东路24号,4200,距离地铁R3号线奥体中心站1618米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",小区路段交通便利位于cbd商业中心附近有学校医院商场出行方便适宜居住
整租海尔绿城精装三室两厅两卫可配家具家电随时可以看房,3室2厅2卫,整租,152㎡,南北,中层 / 15层,海尔绿城百合园北区,高新奥体中心 - 老石沟路,5800,距离地铁R3号线龙奥大厦站1594米,"['空调', '热水器', '衣柜', '暖气', '可做饭', '阳台']",1、海尔绿城全运村百合园位于奥体中心、市政府南邻小区三面环山东西南、三面山体将小区整个环绕、空气清新自然。2、小区内部人车人流绿化率45%园区内有游泳池喷泉各种名贵树种、优美的小区环境让业主如入公园。3、室内屋况整洁干净、屋内保持良好。4、房主诚意出租：精装156平可空房出租也可以配家具家电有车位一，奥体中心，济南市龙奥大厦南，海尔绿城高档住宅区，百合园区，小高层大三室，观景房，精装好户型带家具家电。二，配套齐全，车位，门口银行，超市，药店，旁边学校，幼儿园，奥体中心场管等。有钥匙看房方便。
三庆城市主人 3室2厅1卫 3100元月 电梯房 精装修,3室2厅1卫,整租,125㎡,南北,中层 / 29层,三庆城市主人,高新经十路高新段 - 兴港路1166号,3100,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",历下区凤山南路北侧、兴港路南侧楼盘介绍三庆城市主人规划建筑用地面积71724平米，地上容积率为2.8，地下容积率为1.3，建筑谜底18%，绿化率35%，停车率100%，总建筑面积30.85万平米，地上建筑面积20.08万平米，地下建筑面积10.77万平米。代理机构：山东阳光招标有限公司中标单位：汉嘉设计集团股份有限公司三庆集团多年来，在民用住宅开发过程中，坚持推行“经济房”开发理念，始终关注普通人，面向普通人；深入研究住宅市场，研究市消费者的心理、行为；重视人的价值，以满足现代人个性化的居住需求为目的；合理利用宝贵资源，关注城市环境和自然生态，使人的安居与自然和睦共处；同时在各城市项目开发中努力延续地方文脉，使住宅也有机地融入城市的传统之中。
唐冶 鲁商凤凰城 两室精装家电齐全 拎包入住 近东八区 药谷,2室2厅1卫,整租,92㎡,南北,中层 / 33层,鲁商凤凰城,历城唐冶 - 幼安街,2200,无,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",1、客厅宽敞大方使用率高2、卧室温馨舒适3、厨房设施齐全三社区配套1、环境优雅、低密度社区2、小区绿化率高空气清新4、周边配套地理位置得天独厚出行方便节约时间期待您的来电和咨询！
工业北路华联超市旁，紧邻万虹广场，新东站。可月付，可短租。,1室0厅1卫,整租,35㎡,南,中层 / 6层,王舍人庄鲍华苑,历城工业北路 - 工业北路43-1号,990,距离地铁R3号线王舍人站1272米,"['电视', '空调', '热水器', '洗衣机', '冰箱', '床', '沙发', '衣柜', '暖气', '宽带', '可做饭', '阳台']",房屋推荐特点：1、户型特点：中高层、户型方正、采光视野好，适宜居住。2、室内精装修，拎包入住，宽敞大方，使用率高；卧室温馨舒适，搭配心怡，厨房设施齐全。3、环境优雅，低密度社区，小区绿化率高，让你每天生活在空气清新的环境下。4、小区地理位置好，位于商业圈，交通便利，出小区就是站牌，小区周边配套设施齐全，银行、超市、菜市、学校、医院、商务会所，应有尽有。小区环境幽雅，绿化面积大，家里家室家电齐全，可带衣物直接入住！看房方便，提前预约！
